RK,PLAYER,AGE,TM,GOALIE_STATS_GP,GOALIE_STATS_GS,GOALIE_STATS_W,GOALIE_STATS_L,GOALIE_STATS_T/O,GOALIE_STATS_GA,SA,SV,SV%,GOALIE_STATS_GAA,GOALIE_STATS_SO,GPS,GOALIE_STATS_MIN,GOALIE_STATS_QS,GOALIE_STATS_QS%,GOALIE_STATS_RBS,GOALIE_STATS_GA%-,GOALIE_STATS_GSAA,SCORING_G,SCORING_A,SCORING_PTS,SCORING_PIM,SEASON
2,Craig Anderson,24,CHI,29,,6,12,4,86,757,671,.886,3.32,1,3.4,1554,,,,115,-11.26,0,1,1,14,2006
3,Jean-Sébastien Aubin,28,TOR,11,,9,0,2,25,330,305,.924,2.21,1,2.8,677,,,,77,7.58,0,0,0,0,2006
4,Alex Auld,25,VAN,67,,33,26,6,189,1938,1749,.902,2.94,0,12.0,3859,,,,99,2.34,0,2,2,4,2006
5,Jason Bacashihua,23,STL,19,,4,10,1,52,515,463,.899,3.23,0,3.0,966,,,,102,-1.15,0,1,1,0,2006
6,Ed Belfour,40,TOR,49,,22,22,4,159,1476,1317,.892,3.29,0,7.5,2897,,,,109,-13.27,0,1,1,12,2006
7,Adam Berkhoel,24,ATL,9,,2,4,1,30,255,225,.882,3.80,0,1.0,473,,,,,,0,0,0,0,2006
8,Martin Biron,28,BUF,35,,21,8,3,93,980,887,.905,2.88,1,6.3,1934,,,,96,3.76,0,1,1,10,2006
9,Brian Boucher,29,TOT,14,,4,8,0,48,371,323,.871,4.15,0,1.1,694,,,,131,-11.37,0,0,0,2,2006
10,Martin Brodeur,33,NJD,73,,43,23,7,187,2105,1918,.911,2.57,5,14.9,4365,,,,90,20.83,0,3,3,4,2006
11,Ilya Bryzgalov,25,MDA,31,,13,12,1,66,733,667,.910,2.49,1,5.1,1575,,,,91,6.37,0,2,2,4,2006
12,Peter Budaj,23,COL,34,,14,10,6,86,864,778,.900,2.87,2,5.2,1803,,,,101,-0.70,0,1,1,4,2006
13,Sean Burke,39,TBL,35,,14,10,4,80,764,684,.895,2.80,2,4.1,1713,,,,106,-4.57,0,1,1,10,2006
14,Sébastien Caron,25,PIT,26,,8,9,5,87,733,646,.881,3.98,1,2.9,1312,,,,120,-14.63,0,1,1,0,2006
15,Frédéric Cassivi,30,WSH,1,,0,1,0,4,30,26,.867,4.09,0,0.1,59,,,,,,0,0,0,0,2006
16,Scott Clemmensen,28,NJD,13,,3,4,2,35,295,260,.881,3.35,0,1.2,627,,,,,,0,0,0,0,2006
17,Dan Cloutier,29,VAN,13,,8,3,1,36,334,298,.892,3.11,0,1.7,681,,,,109,-3.02,0,0,0,4,2006
18,Gerald Coleman,20,TBL,2,,0,0,1,2,17,15,.882,2.77,0,0.1,43,,,,,,0,0,0,0,2006
19,Ty Conklin,29,EDM,18,,8,5,1,43,359,316,.880,2.80,1,1.4,922,,,,121,-7.56,0,0,0,2,2006
20,Corey Crawford,21,CHI,2,,0,0,1,5,41,36,.878,3.47,0,0.1,86,,,,,,0,0,0,0,2006
Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,2006
21,Yann Danis,24,MTL,6,,3,2,0,14,152,138,.908,2.69,1,1.0,312,,,,,,0,0,0,0,2006
22,Marc Denis,28,CBJ,49,,21,25,1,151,1505,1354,.900,3.25,1,8.9,2786,,,,102,-2.41,0,1,1,2,2006
23,Rick DiPietro,24,NYI,63,,30,24,5,180,1797,1617,.900,3.02,1,10.6,3572,,,,101,-2.58,0,1,1,28,2006
24,Reinhard Divis,30,STL,12,,0,5,1,37,231,194,.840,4.67,0,-0.1,475,,,,,,0,0,0,0,2006
25,Wade Dubielewicz,27,NYI,7,,2,3,0,15,145,130,.897,2.90,0,0.8,310,,,,,,0,0,0,0,2006
26,Mike Dunham,33,ATL,17,,8,5,2,36,336,300,.893,2.77,1,1.7,779,,,,109,-2.83,0,0,0,0,2006
27,Brian Eklund,25,TBL,1,,0,1,0,3,19,16,.842,3.09,0,0.0,58,,,,,,0,0,0,0,2006
28,Ray Emery,23,OTT,39,,23,11,4,102,1045,943,.902,2.82,3,6.5,2168,,,,99,1.17,0,1,1,2,2006
29,Robert Esche,28,PHI,40,,22,11,5,113,1099,986,.897,2.97,1,6.2,2286,,,,104,-4.49,0,3,3,4,2006
30,Manny Fernandez,31,MIN,58,,30,18,7,130,1612,1482,.919,2.29,1,12.8,3411,,,,82,29.16,0,3,3,6,2006
31,Brian Finley,24,NSH,1,,0,1,0,7,41,34,.829,7.00,0,-0.1,60,,,,,,0,0,0,0,2006
32,Marc-André Fleury,21,PIT,50,,13,27,6,152,1485,1333,.898,3.25,1,8.4,2809,,,,104,-5.38,0,1,1,0,2006
33,Michael Garnett,23,ATL,24,,10,7,4,73,634,561,.885,3.44,2,2.7,1271,,,,117,-10.40,0,2,2,0,2006
34,Mathieu Garon,28,LAK,63,,31,26,3,185,1738,1553,.894,3.22,4,9.1,3446,,,,108,-13.40,0,3,3,8,2006
35,Martin Gerber,31,CAR,60,,38,14,6,162,1719,1557,.906,2.78,3,11.2,3493,,,,95,7.72,0,2,2,4,2006
36,Jean-Sébastien Giguère,28,MDA,60,,30,15,11,150,1692,1542,.911,2.62,2,12.0,3381,,,,90,17.05,0,0,0,20,2006
37,John Grahame,30,TBL,57,,29,22,1,161,1450,1289,.889,3.06,5,6.9,3152,,,,112,-17.84,0,1,1,14,2006
38,Josh Harding,21,MIN,3,,2,1,0,8,83,75,.904,2.59,1,0.5,185,,,,,,0,0,0,0,2006
39,Dominik Hašek,41,OTT,43,,28,10,4,90,1202,1112,.925,2.09,5,10.3,2584,,,,76,28.68,0,0,0,16,2006
40,Adam Hauser,25,LAK,1,,0,0,0,6,24,18,.750,7.08,0,-0.2,51,,,,,,0,0,0,0,2006
41,Johan Hedberg,32,DAL,19,,12,4,1,48,472,424,.898,2.67,0,2.7,1079,,,,103,-1.40,0,2,2,6,2006
42,Chris Holt,20,NYR,1,,0,0,0,0,2,2,1.000,0.00,0,0.0,10,,,,,,0,0,0,0,2006
43,Jimmy Howard,21,DET,4,,1,2,0,10,104,94,.904,2.99,0,0.7,201,,,,,,0,0,0,0,2006
44,Cristobal Huet,30,MTL,36,,18,11,4,77,1085,1008,.929,2.20,7,9.7,2103,,,,72,30.12,0,0,0,0,2006
45,Brent Johnson,28,WSH,26,,9,12,1,81,854,773,.905,3.44,1,5.5,1413,,,,96,3.32,0,0,0,14,2006
46,Curtis Joseph,38,PHX,60,,32,21,3,166,1690,1524,.902,2.91,4,10.3,3424,,,,99,0.86,0,1,1,18,2006
47,Nikolai Khabibulin,33,CHI,50,,17,26,6,157,1379,1222,.886,3.35,0,6.2,2815,,,,115,-20.85,0,1,1,10,2006
48,Miikka Kiprusoff,29,CGY,74,,42,20,11,151,1951,1800,.923,2.07,10,16.2,4380,,,,78,41.63,0,2,2,10,2006
49,Vitali Kolesnik,26,COL,8,,3,3,0,20,178,158,.888,3.24,0,0.8,370,,,,,,0,1,1,2,2006
50,Olaf Kölzig,35,WSH,59,,20,28,11,206,1987,1781,.896,3.53,0,11.0,3506,,,,105,-9.82,0,3,3,14,2006
51,Jason LaBarbera,26,LAK,29,,11,9,2,69,688,619,.900,2.89,1,4.1,1433,,,,102,-1.07,0,1,1,0,2006
52,Patrick Lalime,31,STL,31,,4,18,8,103,868,765,.881,3.64,0,3.4,1699,,,,120,-17.30,0,0,0,0,2006
53,Pascal Leclaire,23,CBJ,33,,11,15,3,97,1084,987,.911,3.23,0,7.6,1804,,,,91,10.03,0,1,1,2,2006
54,Manny Legace,32,DET,51,,37,8,3,106,1244,1138,.915,2.19,7,9.3,2905,,,,86,16.82,0,1,1,0,2006
55,Kari Lehtonen,22,ATL,38,,20,15,0,106,1123,1017,.906,2.94,2,7.3,2166,,,,96,4.88,0,1,1,4,2006
56,David LeNeveu,22,PHX,15,,3,8,2,44,386,342,.886,3.24,0,1.7,814,,,,115,-5.89,0,0,0,0,2006
57,Henrik Lundqvist,23,NYR,53,,30,12,9,116,1485,1369,.922,2.24,2,12.2,3112,,,,79,30.62,0,2,2,0,2006
58,Roberto Luongo,26,FLA,75,,35,30,9,213,2488,2275,.914,2.97,4,18.5,4305,,,,87,32.64,0,3,3,2,2006
59,Jussi Markkanen,30,EDM,37,,15,12,6,105,873,768,.880,3.13,0,3.3,2016,,,,122,-18.81,0,1,1,0,2006
60,Chris Mason,29,NSH,23,,12,5,1,52,597,545,.913,2.54,2,4.3,1227,,,,88,6.94,1,0,1,0,2006
61,Jamie McLennan,34,FLA,17,,2,4,2,34,360,326,.906,2.85,0,2.3,678,,,,96,1.54,0,0,0,0,2006
62,Rob McVicar,24,VAN,1,,0,0,0,0,0,0,,0.00,0,0.0,3,,,,,,0,0,0,0,2006
63,Ryan Miller,25,BUF,48,,30,14,3,124,1440,1316,.914,2.60,1,10.6,2862,,,,87,18.17,0,2,2,0,2006
64,Mike Morrison,26,TOT,25,,11,4,3,54,457,403,.882,2.95,0,1.8,1099,,,,120,-8.88,0,1,1,2,2006
65,Adam Munro,23,CHI,10,,3,5,2,25,234,209,.893,3.00,1,1.2,501,,,,,,0,1,1,0,2006
66,Evgeni Nabokov,30,SJS,45,,16,19,7,133,1160,1027,.885,3.10,1,5.1,2575,,,,116,-18.47,0,1,1,18,2006
67,Antero Niittymäki,25,PHI,46,,23,15,6,133,1266,1133,.895,2.97,2,6.8,2690,,,,106,-8.01,0,1,1,0,2006
68,Mika Noronen,26,TOT,8,,2,3,0,22,154,132,.857,3.90,0,0.2,339,,,,,,0,0,0,2,2006
69,Chris Osgood,33,DET,32,,20,6,5,85,828,743,.897,2.76,2,4.7,1846,,,,104,-3.25,0,0,0,8,2006
70,Maxime Ouellet,24,VAN,4,,0,2,1,12,113,101,.894,3.25,0,0.6,222,,,,,,0,0,0,2,2006
71,Martin Prusek,30,CBJ,9,,3,3,0,20,165,145,.879,3.21,0,0.6,373,,,,,,0,0,0,0,2006
72,Andrew Raycroft,25,BOS,30,,8,19,2,100,824,724,.879,3.72,0,3.0,1619,,,,123,-18.64,0,0,0,0,2006
73,Pekka Rinne,23,NSH,2,,1,1,0,4,40,36,.900,3.80,0,0.2,63,,,,,,0,0,0,0,2006
74,Dwayne Roloson,36,TOT,43,,14,24,5,115,1256,1141,.908,2.73,2,8.6,2524,,,,93,9.01,0,1,1,8,2006
75,Dany Sabourin,25,PIT,1,,0,1,0,4,14,10,.714,11.68,0,-0.2,21,,,,,,0,0,0,0,2006
76,Curtis Sanford,26,STL,34,,13,13,5,81,885,804,.908,2.66,3,6.0,1830,,,,93,6.38,0,0,0,0,2006
77,Philippe Sauvé,25,TOT,13,,3,7,0,39,330,291,.882,3.97,0,1.3,589,,,,120,-6.42,0,0,0,21,2006
78,Nolan Schaefer,26,SJS,7,,5,1,0,11,138,127,.920,1.88,1,1.1,352,,,,,,0,0,0,2,2006
79,Steve Shields,33,ATL,5,,1,2,1,19,129,110,.853,4.28,0,0.1,266,,,,,,0,0,0,0,2006
80,Jordan Sigalet,24,BOS,1,,0,0,0,0,0,0,,0.00,0,0.0,1,,,,,,0,0,0,0,2006
81,Garth Snow,36,NYI,20,,4,13,1,68,595,527,.886,3.72,0,2.6,1096,,,,116,-9.25,0,0,0,2,2006
82,Mikael Tellqvist,26,TOR,25,,10,11,2,73,697,624,.895,3.13,2,3.8,1399,,,,106,-4.18,0,0,0,0,2006
83,José Théodore,29,TOT,43,,18,18,6,137,1158,1021,.882,3.41,0,4.6,2410,,,,120,-22.67,0,1,1,2,2006
84,Jocelyn Thibault,31,PIT,16,,1,9,3,60,484,424,.876,4.47,0,1.6,807,,,,126,-12.21,0,0,0,2,2006
85,Tim Thomas,31,BOS,38,,12,13,10,101,1213,1112,.917,2.77,1,9.3,2187,,,,84,18.76,0,1,1,4,2006
86,Hannu Toivonen,21,BOS,20,,9,5,4,51,590,539,.914,2.63,1,4.3,1163,,,,88,7.25,0,0,0,6,2006
87,Vesa Toskala,28,SJS,37,,23,7,4,87,878,791,.901,2.59,2,5.3,2039,,,,100,-0.31,0,1,1,4,2006
88,Marty Turco,30,DAL,68,,41,19,5,166,1624,1458,.898,2.55,3,9.2,3910,,,,104,-5.66,0,2,2,28,2006
89,Tomáš Vokoun,29,NSH,61,,36,18,7,160,1984,1824,.919,2.67,4,15.8,3601,,,,82,35.88,0,2,2,26,2006
90,Cam Ward,21,CAR,28,,14,8,2,91,773,682,.882,3.68,0,3.1,1484,,,,119,-14.68,0,2,2,0,2006
91,Kevin Weekes,30,NYR,32,,14,14,3,91,867,776,.895,2.86,0,4.7,1850,,,,106,-5.40,0,1,1,4,2006
1,David Aebischer,25,COL,62,,32,19,9,129,1703,1574,.924,2.09,4,13.1,3703,,,,85,22.66,0,1,1,4,2004
2,Craig Anderson,22,CHI,21,,6,14,0,57,602,545,.905,2.84,1,3.3,1205,,,,106,-3.39,0,0,0,4,2004
3,Jean-Sébastien Aubin,26,PIT,22,,7,9,0,53,574,521,.908,2.98,1,3.3,1067,,,,104,-1.88,0,0,0,2,2004
4,Alex Auld,23,VAN,6,,2,2,2,12,168,156,.929,2.06,0,1.4,349,,,,,,0,0,0,0,2004
5,Ed Belfour,38,TOR,59,,34,19,6,122,1483,1361,.918,2.13,10,10.3,3444,,,,92,10.07,0,2,2,16,2004
6,Zac Bierk,27,PHX,4,,0,1,2,12,108,96,.889,3.79,0,0.4,190,,,,,,0,0,0,2,2004
7,Martin Biron,26,BUF,52,,26,18,5,125,1442,1317,.913,2.52,2,9.2,2972,,,,97,3.42,0,2,2,10,2004
8,Brian Boucher,27,PHX,40,,10,19,10,108,1150,1042,.906,2.75,5,6.4,2364,,,,105,-5.58,0,0,0,2,2004
